Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Enterprise,France,Montana,None,$179.00,$5.00,$28.40,"$5,083.60",$0.00,"$5,083.60","$3,157.40","$1,926.20",10/28/2017,10,October,2017
Small Business,Mexico,Carretera,None,$505.00,$7.00,$71.88,"$36,299.40",$0.00,"$36,299.40","$31,468.42","$4,830.98",05/19/2015,5,May,2015
Government,Canada,Paseo,None,$688.00,$3.00,$41.43,"$28,503.84",$0.00,"$28,503.84","$18,801.87","$9,701.97",04/04/2018,4,April,2018
Enterprise,France,Carretera,None,$926.00,$3.00,$56.06,"$51,911.56",$0.00,"$51,911.56","$42,934.50","$8,977.06",09/01/2018,9,September,2018
Enterprise,USA,Carretera,None,$680.00,$3.00,$94.05,"$63,954.00",$0.00,"$63,954.00","$45,078.97","$18,875.03",08/19/2015,8,August,2015
Small Business,Mexico,Carretera,None,$918.00,$7.00,$13.36,"$12,264.48",$0.00,"$12,264.48","$9,104.16","$3,160.32",03/04/2016,3,March,2016
Government,Canada,Carretera,None,$554.00,$7.00,$55.02,"$30,481.08",$0.00,"$30,481.08","$20,952.03","$9,529.05",06/14/2017,6,June,2017
Government,USA,Paseo,None,$978.00,$5.00,$86.90,"$84,988.20",$0.00,"$84,988.20","$68,749.71","$16,238.49",12/14/2014,12,December,2014
Enterprise,USA,Paseo,None,$823.00,$7.00,$62.92,"$51,783.16",$0.00,"$51,783.16","$44,189.88","$7,593.28",12/09/2018,12,December,2018
Midmarket,USA,Montana,None,$293.00,$5.00,$34.92,"$10,231.56",$0.00,"$10,231.56","$7,017.63","$3,213.93",04/19/2016,4,April,2016
Enterprise,USA,Carretera,None,$523.00,$5.00,$45.79,"$23,948.17",$0.00,"$23,948.17","$16,109.10","$7,839.07",07/11/2017,7,July,2017
Enterprise,France,Carretera,None,$431.00,$3.00,$71.22,"$30,695.82",$0.00,"$30,695.82","$24,692.70","$6,003.12",01/16/2016,1,January,2016
Enterprise,France,Montana,None,$152.00,$7.00,$90.17,"$13,705.84",$0.00,"$13,705.84","$9,025.92","$4,679.92",01/19/2017,1,January,2017
Enterprise,France,Carretera,None,$538.00,$3.00,$13.70,"$7,370.60",$0.00,"$7,370.60","$5,837.16","$1,533.44",12/04/2017,12,December,2017
Small Business,Canada,Montana,None,$86.00,$3.00,$16.44,"$1,413.84",$0.00,"$1,413.84",$888.36,$525.48,12/09/2015,12,December,2015
Government,Canada,Paseo,None,$703.00,$7.00,$39.25,"$27,592.75",$0.00,"$27,592.75","$21,689.04","$5,903.71",06/25/2015,6,June,2015
Small Business,Canada,Montana,None,$598.00,$7.00,$30.95,"$18,508.10",$0.00,"$18,508.10","$13,955.51","$4,552.59",10/17/2014,10,October,2014
Small Business,Germany,Carretera,None,$569.00,$5.00,$33.84,"$19,254.96",$0.00,"$19,254.96","$12,210.95","$7,044.01",11/15/2014,11,November,2014
Small Business,Canada,Montana,None,$792.00,$5.00,$29.91,"$23,688.72",$0.00,"$23,688.72","$18,826.16","$4,862.56",07/08/2016,7,July,2016
Enterprise,France,Paseo,None,$382.00,$5.00,$27.62,"$10,550.84",$0.00,"$10,550.84","$7,743.97","$2,806.87",09/26/2015,9,September,2015
Midmarket,France,Carretera,None,$446.00,$5.00,$21.76,"$9,704.96",$0.00,"$9,704.96","$6,455.10","$3,249.86",07/13/2017,7,July,2017
Government,Germany,Paseo,None,$345.00,$3.00,$94.06,"$32,450.70",$0.00,"$32,450.70","$22,910.69","$9,540.01",09/01/2015,9,September,2015
Midmarket,Germany,Paseo,None,$156.00,$3.00,$22.98,"$3,584.88",$0.00,"$3,584.88","$2,680.17",$904.71,10/02/2017,10,October,2017
Small Business,Canada,Montana,None,$909.00,$7.00,$28.40,"$25,815.60",$0.00,"$25,815.60","$16,198.42","$9,617.18",09/10/2015,9,September,2015
Small Business,Mexico,Paseo,None,$579.00,$5.00,$32.16,"$18,620.64",$0.00,"$18,620.64","$16,521.77","$2,098.87",08/27/2017,8,August,2017
Midmarket,Germany,Carretera,None,$874.00,$5.00,$93.97,"$82,129.78",$0.00,"$82,129.78","$65,676.61","$16,453.17",07/21/2016,7,July,2016
Midmarket,USA,Paseo,None,$132.00,$5.00,$78.01,"$10,297.32",$0.00,"$10,297.32","$6,495.14","$3,802.18",12/27/2015,12,December,2015
Midmarket,France,Paseo,None,$983.00,$3.00,$81.07,"$79,691.81",$0.00,"$79,691.81","$67,487.70","$12,204.11",03/13/2018,3,March,2018
Small Business,USA,Montana,None,$337.00,$7.00,$19.43,"$6,547.91",$0.00,"$6,547.91","$4,562.36","$1,985.55",11/11/2018,11,November,2018
Small Business,France,Paseo,None,$755.00,$3.00,$85.27,"$64,378.85",$0.00,"$64,378.85","$50,153.69","$14,225.16",03/14/2017,3,March,2017
Government,France,Montana,None,$510.00,$7.00,$46.74,"$23,837.40",$0.00,"$23,837.40","$16,284.35","$7,553.05",11/16/2016,11,November,2016
Government,Germany,Montana,None,$264.00,$7.00,$33.65,"$8,883.60",$0.00,"$8,883.60","$7,284.75","$1,598.85",05/28/2017,5,May,2017
Small Business,Germany,Carretera,None,$330.00,$3.00,$61.82,"$20,400.60",$0.00,"$20,400.60","$16,665.31","$3,735.29",07/06/2016,7,July,2016
Midmarket,USA,Carretera,None,$781.00,$3.00,$84.00,"$65,604.00",$0.00,"$65,604.00","$50,227.28","$15,376.72",12/02/2014,12,December,2014
Midmarket,France,Carretera,None,$508.00,$7.00,$80.08,"$40,680.64",$0.00,"$40,680.64","$27,348.69","$13,331.95",10/26/2015,10,October,2015
Government,USA,Carretera,None,$850.00,$3.00,$90.10,"$76,585.00",$0.00,"$76,585.00","$51,779.97","$24,805.03",07/05/2016,7,July,2016
Small Business,Mexico,Montana,None,$393.00,$3.00,$93.53,"$36,757.29",$0.00,"$36,757.29","$26,276.27","$10,481.02",01/19/2017,1,January,2017
Government,USA,Paseo,None,$243.00,$7.00,$31.43,"$7,637.49",$0.00,"$7,637.49","$4,914.75","$2,722.74",08/07/2014,8,August,2014
Government,Canada,Carretera,None,$207.00,$7.00,$48.15,"$9,967.05",$0.00,"$9,967.05","$6,989.86","$2,977.19",01/28/2017,1,January,2017
Enterprise,USA,Carretera,None,$514.00,$5.00,$11.32,"$5,818.48",$0.00,"$5,818.48","$4,685.66","$1,132.82",11/28/2018,11,November,2018
Enterprise,Canada,Carretera,None,$153.00,$3.00,$89.14,"$13,638.42",$0.00,"$13,638.42","$11,582.48","$2,055.94",04/17/2018,4,April,2018
Enterprise,Canada,Paseo,None,$83.00,$7.00,$23.91,"$1,984.53",$0.00,"$1,984.53","$1,388.72",$595.81,02/05/2015,2,February,2015
Midmarket,Canada,Carretera,None,$151.00,$3.00,$87.53,"$13,217.03",$0.00,"$13,217.03","$8,856.43","$4,360.60",05/12/2015,5,May,2015
Small Business,Mexico,Paseo,None,$688.00,$3.00,$39.64,"$27,272.32",$0.00,"$27,272.32","$23,175.82","$4,096.50",06/19/2014,6,June,2014
Small Business,USA,Montana,None,$775.00,$7.00,$43.13,"$33,425.75",$0.00,"$33,425.75","$28,987.19","$4,438.56",04/27/2018,4,April,2018
Small Business,USA,Montana,None,$374.00,$5.00,$13.52,"$5,056.48",$0.00,"$5,056.48","$3,655.87","$1,400.61",12/18/2016,12,December,2016
Small Business,Mexico,Montana,None,$993.00,$7.00,$39.42,"$39,144.06",$0.00,"$39,144.06","$23,802.38","$15,341.68",04/28/2018,4,April,2018
Enterprise,France,Paseo,None,$857.00,$7.00,$89.95,"$77,087.15",$0.00,"$77,087.15","$62,324.07","$14,763.08",07/12/2015,7,July,2015
Midmarket,Germany,Carretera,None,$740.00,$3.00,$12.30,"$9,102.00",$0.00,"$9,102.00","$7,602.08","$1,499.92",11/03/2017,11,November,2017
Midmarket,USA,Carretera,None,$641.00,$5.00,$46.57,"$29,851.37",$0.00,"$29,851.37","$18,072.24","$11,779.13",04/26/2014,4,April,2014
Enterprise,Germany,Carretera,None,$190.00,$7.00,$12.83,"$2,437.70",$0.00,"$2,437.70","$1,897.77",$539.93,02/04/2018,2,February,2018
